Time(s),CHAN1(V),CHAN2(V)
-0.023621,-0.569314,-0.029900
-0.023618,-0.549213,-0.009799
-0.023614,-0.549213,-0.029900
-0.023611,-0.569314,-0.029900
-0.023608,-0.569314,-0.009799
-0.023605,-0.569314,-0.029900
-0.023602,-0.569314,-0.029900
-0.023598,-0.549213,-0.050000
-0.023595,-0.549213,-0.029900
-0.023592,-0.569314,-0.029900
-0.023589,-0.549213,-0.050000
-0.023586,-0.569314,-0.050000
-0.023582,-0.549213,-0.050000
-0.023579,-0.569314,-0.050000
-0.023576,-0.569314,-0.029900
-0.023573,-0.549213,-0.029900
-0.023570,-0.549213,-0.050000
-0.023566,-0.549213,-0.050000
-0.023563,-0.549213,-0.029900
-0.023560,-0.549213,-0.029900
-0.023557,-0.549213,-0.029900
-0.023554,-0.549213,-0.029900
-0.023550,-0.549213,-0.029900
-0.023547,-0.549213,-0.029900
-0.023544,-0.549213,-0.009799
-0.023541,-0.549213,-0.029900
-0.023538,-0.529113,-0.009799
-0.023534,-0.549213,-0.029900
-0.023531,-0.549213,-0.029900
-0.023528,-0.549213,-0.029900
-0.023525,-0.549213,-0.009799
-0.023522,-0.549213,-0.009799
-0.023518,-0.549213,-0.009799
-0.023515,-0.549213,-0.009799
-0.023512,-0.529113,-0.009799
-0.023509,-0.529113,-0.009799
-0.023506,-0.549213,-0.029900
-0.023502,-0.529113,-0.009799
-0.023499,-0.549213,-0.009799
-0.023496,-0.529113,0.010301
-0.023493,-0.549213,0.010301
-0.023490,-0.529113,-0.009799
-0.023486,-0.529113,-0.009799
-0.023483,-0.529113,-0.009799
-0.023480,-0.529113,-0.009799
-0.023477,-0.529113,-0.009799
-0.023474,-0.529113,-0.009799
-0.023470,-0.509012,-0.009799
-0.023467,-0.529113,-0.009799
-0.023464,-0.529113,-0.009799
-0.023461,-0.529113,-0.009799
-0.023458,-0.529113,-0.009799
-0.023454,-0.529113,-0.029900
-0.023451,-0.529113,-0.029900
-0.023448,-0.509012,-0.029900
-0.023445,-0.529113,-0.029900
-0.023442,-0.529113,-0.029900
-0.023438,-0.529113,-0.050000
-0.023435,-0.529113,-0.050000
-0.023432,-0.529113,-0.050000
-0.023429,-0.509012,-0.050000
-0.023426,-0.509012,-0.050000
-0.023422,-0.529113,-0.050000
-0.023419,-0.509012,-0.050000
-0.023416,-0.529113,-0.050000
-0.023413,-0.509012,-0.050000
-0.023410,-0.509012,-0.050000
-0.023406,-0.509012,-0.050000
-0.023403,-0.509012,-0.050000
-0.023400,-0.509012,-0.029900
-0.023397,-0.509012,-0.029900
-0.023394,-0.509012,-0.009799
-0.023390,-0.509012,-0.009799
-0.023387,-0.509012,-0.009799
-0.023384,-0.509012,-0.029900
-0.023381,-0.509012,-0.009799
-0.023378,-0.509012,-0.009799
-0.023374,-0.509012,-0.029900
-0.023371,-0.509012,-0.009799
-0.023368,-0.509012,-0.009799
-0.023365,-0.488912,-0.009799
-0.023362,-0.488912,-0.009799
-0.023358,-0.488912,0.010301
-0.023355,-0.509012,-0.009799
-0.023352,-0.488912,0.010301
-0.023349,-0.488912,-0.009799
-0.023346,-0.488912,-0.009799
-0.023342,-0.488912,-0.009799
-0.023339,-0.488912,-0.009799
-0.023336,-0.509012,-0.009799
-0.023333,-0.488912,-0.009799
-0.023330,-0.488912,-0.009799
-0.023326,-0.488912,-0.009799
-0.023323,-0.488912,-0.009799
-0.023320,-0.488912,-0.009799
-0.023317,-0.488912,-0.009799
-0.023314,-0.488912,0.010301
-0.023310,-0.488912,0.010301
-0.023307,-0.488912,-0.009799
-0.023304,-0.488912,-0.009799
-0.023301,-0.488912,-0.009799
-0.023298,-0.488912,-0.009799
-0.023294,-0.488912,-0.029900
-0.023291,-0.488912,-0.009799
-0.023288,-0.488912,-0.009799
-0.023285,-0.488912,-0.009799
-0.023282,-0.488912,0.010301
-0.023278,-0.468811,-0.009799
-0.023275,-0.488912,-0.009799
-0.023272,-0.468811,-0.009799
-0.023269,-0.488912,-0.009799
-0.023266,-0.468811,-0.009799
-0.023262,-0.488912,-0.009799
-0.023259,-0.468811,-0.009799
-0.023256,-0.468811,0.010301
-0.023253,-0.468811,0.010301
-0.023250,-0.468811,0.010301
